t,dayofweek,weekend,y,y_t_1
19,2,0,11.138545454545454,11.236625
20,3,0,10.655,11.138545454545454
21,4,0,8.375,10.655
22,5,0,11.0276,8.375
23,6,1,6.0758,11.0276
24,0,1,2.6006666666666667,6.0758
25,1,0,14.321,2.6006666666666667
26,2,0,9.996666666666668,14.321
27,3,0,5.841272727272727,9.996666666666668
28,4,0,15.367666666666667,5.841272727272727
29,5,0,7.506222222222222,15.367666666666667
30,6,1,14.947833333333334,7.506222222222222
31,0,1,9.221142857142857,14.947833333333334
1,1,0,10.2784,9.221142857142857
2,2,0,10.037166666666666,10.2784
3,3,0,10.940285714285713,10.037166666666666
4,4,0,8.1454,10.940285714285713
5,5,0,9.19625,8.1454
6,6,1,7.396666666666666,9.19625
7,0,1,10.193,7.396666666666666
8,1,0,10.030333333333333,10.193
9,2,0,7.5335,10.030333333333333
10,3,0,12.928076923076922,7.5335
11,4,0,5.825090909090909,12.928076923076922
12,5,0,10.5914,5.825090909090909
13,6,1,13.887285714285714,10.5914
14,0,1,5.661555555555555,13.887285714285714
15,1,0,11.904499999999999,5.661555555555555
16,2,0,13.064833333333333,11.904499999999999
17,3,0,5.150153846153846,13.064833333333333
18,4,0,17.53622222222222,5.150153846153846
19,5,0,6.028666666666666,17.53622222222222
20,6,1,13.3286,6.028666666666666
21,0,1,8.217166666666666,13.3286
22,1,0,10.483285714285714,8.217166666666666
23,2,0,8.790600000000001,10.483285714285714
24,3,0,4.53975,8.790600000000001
25,4,0,9.89775,4.53975
26,5,0,9.956777777777779,9.89775
27,6,1,5.534000000000001,9.956777777777779
28,0,1,15.02425,5.534000000000001
29,1,0,11.837285714285715,15.02425
30,2,0,11.674909090909091,11.837285714285715
1,3,0,9.7837,11.674909090909091
2,4,0,10.868625,9.7837
3,5,0,10.0092,10.868625
4,6,1,5.835375,10.0092
5,0,1,14.591333333333333,5.835375
6,1,0,7.255166666666667,14.591333333333333
7,2,0,11.246636363636362,7.255166666666667
8,3,0,4.41175,11.246636363636362
9,4,0,11.182125,4.41175
10,5,0,6.112375,11.182125
11,6,1,13.286071428571429,6.112375
12,0,1,7.957714285714286,13.286071428571429
13,1,0,6.610428571428572,7.957714285714286
14,2,0,8.683,6.610428571428572
15,3,0,6.7776250000000005,8.683
16,4,0,7.573111111111111,6.7776250000000005
17,5,0,8.382823529411766,7.573111111111111
18,6,1,9.066272727272727,8.382823529411766
